Title,Price,Marque,Modele,Kilometrage,Mise_en_circulation,Energie,Boite_vitesse,Puissance_fiscale,Puissance_ch,Transmission,Carrosserie,Etat_general,Proprietaires,Gouvernorat,Couleur_exterieure,Couleur_interieure,Sellerie,Nombre_places,Nombre_portes,Cylindree,Equipements,Date_annonce,URL
Fiat Panda,35500 DT,Fiat,Panda,71 000,5.2022,Essence,Manuelle,4.0,69.0,Traction,Citadine,Très bon,1ère main,Tunis,Bleu,Noir,Tissu,5,5,999.0,"Bluetooth, Climatisation, Direction assistée, Fermeture centralisée, GPS, Vitres électriques",08.02.2026,https://www.automobile.tn/fr/occasion/fiat/panda/123039
Suzuki Swift GL 1.2 L 85 cv Boîte auto,42000 DT,Suzuki,Swift,95 000,5.2022,Essence,Automatique,5.0,85.0,Traction,Compacte,Très bon,1ère main,Tunis,Gris,Noir,Tissu,5,5,1197.0,"ABS, Airbags frontaux, Android Auto, Apple Carplay, Bluetooth, Caméra de recul, Climatisation, Climatisation automatique, Direction assistée, Fermeture centralisée, Ordinateur de bord, Radar de recul, Vitres électriques",08.02.2026,https://www.automobile.tn/fr/occasion/suzuki/swift/119301
Volkswagen Polo Sedan Trendline 1.4 L 85 cv,49000 DT,Volkswagen,Polo Sedan,95 000,2.2023,Essence,Manuelle,5.0,85.0,Traction,Berline,Très bon,1ère main,Tunis,Gris,Noir,Tissu,5,4,1390.0,"ABS, Airbags frontaux, Climatisation, Direction assistée, Fermeture centralisée, Vitres électriques",08.02.2026,https://www.automobile.tn/fr/occasion/volkswagen/polo-sedan/121417
Fiat Doblo Maxi 3 places Maxi 1.3 MJTD 16V Fourgon long 90 cv,49500 DT,Fiat,Doblo Maxi,113 000,5.2021,Diesel,Manuelle,5.0,90.0,Traction,Utilitaire,Très bon,1ère main,Tunis,Blanc,Noir,Tissu,3,5,1248.0,"ABS, Bluetooth, Climatisation, Direction assistée, Fermeture centralisée, Ordinateur de bord",08.02.2026,https://www.automobile.tn/fr/occasion/fiat/doblo-maxi/123040
BMW X3 xLine 20d xDrive 2.0 d 16V 190 cv Boîte auto,82000 DT,BMW,X3,185 000,5.2014,Diesel,Automatique,10.0,190.0,Intégrale,SUV,Très bon,1ère main,Tunis,Noir,Gris,Cuir,4,5,1995.0,"Bluetooth, Climatisation, Climatisation automatique, Direction assistée, Fermeture centralisée, Feux à LED, Navigation, Ordinateur de bord, Radar de recul, Sièges électriques, Toit ouvrant, Toit panoramique, Vitres électriques",08.02.2026,https://www.automobile.tn/fr/occasion/bmw/x3/117675
Suzuki Baleno GLX,39000 DT,Suzuki,Baleno,89 000,5.2018,Essence,Automatique,5.0,95.0,Traction,Berline,Très bon,1ère main,Tunis,Bleu,Noir,Tissu,5,5,1373.0,"ABS, Airbags frontaux, Airbags latéraux, Bluetooth, Climatisation, Climatisation automatique, Direction assistée, Fermeture centralisée, Jantes en alliage, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Vitres électriques",08.02.2026,https://www.automobile.tn/fr/occasion/suzuki/baleno/121253
Mercedes-Benz Classe A AMG 180 1.3 Ti 16V 7G-DCT 136 cv Boîte auto,123000 DT,Mercedes-Benz,Classe A,63 000,5.2022,Essence,Automatique,7.0,136.0,Traction,Compacte,Très bon,1ère main,Tunis,Blanc,Noir,Cuir,5,5,1332.0,"Android Auto, Apple Carplay, Bluetooth, Caméra de recul, Climatisation, Climatisation automatique, Direction assistée, Fermeture centralisée, GPS, Navigation, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges électriques, Toit ouvrant, Toit panoramique, Vitres électriques",08.02.2026,https://www.automobile.tn/fr/occasion/mercedes-benz/classe-a/122307
Peugeot 308 Active Pack 1.2 THP Puretech 12V 110 cv,44000 DT,Peugeot,308,138 000,5.2022,Essence,Manuelle,6.0,110.0,Traction,Berline,Très bon,1ère main,Tunis,Noir,Noir,Tissu,5,5,1199.0,"ABS, Airbags frontaux, Airbags latéraux, Android Auto, Apple Carplay, Bluetooth, Climatisation, Climatisation automatique, Direction assistée, Fermeture centralisée, Feux à LED, GPS, Jantes en alliage, Ordinateur de bord, Vitres électriques",08.02.2026,https://www.automobile.tn/fr/occasion/peugeot/308/121247
Nissan Juke Tekna 1.0 DIG-T 12V 7DCT 117 cv Boîte auto,78000 DT,Nissan,Juke,84 000,5.2022,Essence,Automatique,6.0,117.0,Traction,SUV,Très bon,1ère main,Tunis,Noir,Noir,Similicuir,5,5,999.0,"ABS, Airbags frontaux, Airbags latéraux, Android Auto, Apple Carplay, Bluetooth, Caméra de recul, Climatisation, Climatisation automatique, Direction assistée, Fermeture centralisée, Feux à LED, Jantes en alliage, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Toit ouvrant, Vitres électriques",08.02.2026,https://www.automobile.tn/fr/occasion/nissan/juke/118268
Mercedes-Benz Classe A AMG 180 d 1.5 d 8V 7G-DCT 116 cv Boîte auto,98000 DT,Mercedes-Benz,Classe A,121 000,5.2019,Diesel,Automatique,7.0,116.0,Intégrale,Berline,Très bon,1ère main,Tunis,Noir,Noir,Similicuir,5,5,1461.0,"Android Auto, Apple Carplay, Bluetooth, Caméra de recul, Climatisation, Climatisation automatique, Direction assistée, Fermeture centralisée, Feux à LED, Navigation, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges chauffants, Sièges électriques, Toit ouvrant, Toit panoramique, Vitres électriques",08.02.2026,https://www.automobile.tn/fr/occasion/mercedes-benz/classe-a/120869
Chevrolet Groove Premier 1.5 L 106 cv Boîte auto,65000 DT,Chevrolet,Groove,58 000,5.2022,Essence,Automatique,6.0,106.0,Traction,SUV,Très bon,1ère main,Tunis,Blanc,Noir,Tissu,5,5,1485.0,"ABS, Airbags frontaux, Airbags latéraux, Android Auto, Apple Carplay, Bluetooth, Caméra de recul, Climatisation, Climatisation automatique, Direction assistée, Fermeture centralisée, Feux à LED, Jantes en alliage, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Toit ouvrant, Toit panoramique, Vitres électriques",08.02.2026,https://www.automobile.tn/fr/occasion/chevrolet/groove/120528
Toyota Agya 1.2 L VVTi 87 cv Boîte auto,39800 DT,Toyota,Agya,60 000,5.2023,Essence,Automatique,5.0,87.0,Traction,Citadine,Très bon,1ère main,Tunis,Noir,Noir,Tissu,5,5,1197.0,"ABS, Airbags frontaux, Android Auto, Bluetooth, Climatisation, Direction assistée, Fermeture centralisée, Jantes en alliage, Ordinateur de bord, Vitres électriques",08.02.2026,https://www.automobile.tn/fr/occasion/toyota/agya/118806
Toyota Corolla Active 1.2 T 16V 116 cv,65900 DT,Toyota,Corolla,69 000,9.2021,Essence,Manuelle,6.0,116.0,Traction,Berline,Très bon,1ère main,Tunis,Blanc,Noir,Tissu,5,5,1197.0,"ABS, Airbags frontaux, Airbags latéraux, Android Auto, Apple Carplay, Bluetooth, Caméra de recul, Climatisation, Climatisation automatique, Direction assistée, Fermeture centralisée, Feux à LED, Jantes en alliage, Navigation, Ordinateur de bord, Radar de recul, Sièges électriques, Vitres électriques",08.02.2026,https://www.automobile.tn/fr/occasion/toyota/corolla-5p/121849
GWM M4 1.5 94 cv,38000 DT,GWM,M4,76 000,8.2017,Essence,Manuelle,6.0,94.0,Traction,SUV,Très bon,1ère main,Ben Arous,Rouge,Noir,Similicuir,5,5,1497.0,"ABS, Airbags frontaux, Airbags latéraux, Android Auto, Apple Carplay, Bluetooth, Caméra de recul, Climatisation, Fermeture centralisée, Feux à LED, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Vitres électriques",08.02.2026,https://www.automobile.tn/fr/occasion/great-wall/m4/122041
BMW Série 7 Pure Excellence 730Li 2.0 i 265 Berline 16V Automatic 265 cv Boîte auto,300000 DT,BMW,,105 000,2.2022,Essence,Automatique,16.0,265.0,Propulsion,Berline,Très bon,,Ariana,Noir,Beige,Cuir,5,4,2000.0,"ABS, Airbags frontaux, Airbags latéraux, Android Auto, Apple Carplay, Bluetooth, Caméra de recul, Climatisation, Climatisation automatique, Direction assistée, Fermeture centralisée, Feux à LED, Jantes en alliage, Navigation, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges électriques, Toit ouvrant, Toit panoramique, Vitres électriques",08.02.2026,https://www.automobile.tn/fr/occasion/bmw/serie-7/122674
Mercedes-Benz Classe C AMG 180 d 122ch 9G-Tronic,110000 DT,Mercedes-Benz,Classe C,156 000,3.202,Diesel,Automatique,7.0,122.0,Propulsion,Berline,Très bon,,Ben Arous,Blanc,Noir,Alcantara,5,4,1600.0,"ABS, Airbags frontaux, Airbags latéraux, Android Auto, Apple Carplay, Bluetooth, Caméra de recul, Climatisation, Climatisation automatique, Direction assistée, Fermeture centralisée, Feux à LED, Jantes en alliage, Navigation, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges chauffants, Sièges électriques, Toit ouvrant, Toit panoramique, Vitres électriques",08.02.2026,https://www.automobile.tn/fr/occasion/mercedes-benz/classe-c/115615
Peugeot 3008 Allure 1.2 THP Puretech 12V EAT6 S&S 130 cv Boîte auto,67000 DT,Peugeot,3008,200 000,12.202,Essence,Automatique,7.0,130.0,Traction,SUV,Très bon,1ère main,Ben Arous,Blanc,Marron,Similicuir,5,5,1199.0,"ABS, Airbags frontaux, Airbags latéraux, Android Auto, Apple Carplay, Bluetooth, Caméra de recul, Climatisation, Climatisation automatique, Direction assistée, Fermeture centralisée, Feux à LED, Jantes en alliage, Navigation, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges chauffants, Sièges électriques, Toit ouvrant, Toit panoramique, Vitres électriques",08.02.2026,https://www.automobile.tn/fr/occasion/peugeot/3008/122229
BMW iX3 PACK M EV 286 cv Boîte auto,147000 DT,BMW,iX3,48 000,12.2022,Electrique,Automatique,6.0,286.0,Propulsion,SUV,Très bon,1ère main,Kairouan,Blanc,Noir,Cuir,5,5,,"ABS, Airbags frontaux, Airbags latéraux, Android Auto, Apple Carplay, Bluetooth, Caméra de recul, Climatisation, Climatisation automatique, Direction assistée, Fermeture centralisée, Feux à LED, Jantes en alliage, Navigation, Ordinateur de bord, Phares LED, Radar de recul, Régulateur de vitesse, Sièges chauffants, Sièges électriques, Toit ouvrant, Toit panoramique, Vitres électriques",08.02.2026,https://www.automobile.tn/fr/occasion/bmw/ix3/120878
BMW i4 PACK M PRO eDrive35 286 cv Boîte auto,169000 DT,BMW,i4,8 000,9.2023,Electrique,Automatique,6.0,286.0,Intégrale,Berline,Très bon,1ère main,Kairouan,Noir,Noir,Cuir,5,4,,"ABS, Airbags frontaux, Airbags latéraux, Android Auto, Apple Carplay, Bluetooth, Caméra de recul, Climatisation, Climatisation automatique, Direction assistée, Fermeture centralisée, Feux à LED, Jantes en alliage, Navigation, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges chauffants, Sièges électriques, Toit ouvrant, Toit panoramique, Vitres électriques",08.02.2026,https://www.automobile.tn/fr/occasion/bmw/i4/120389
Renault Megane Dynamique 1.5 Blue dCi 115 cv,55500 DT,Renault,Megane,167 000,7.2021,Diesel,Manuelle,5.0,115.0,Traction,Berline,Très bon,1ère main,Nabeul,Blanc,Noir,Tissu,5,5,1461.0,"Bluetooth, Navigation, Sièges électriques",08.02.2026,https://www.automobile.tn/fr/occasion/renault/megane/121282
Renault Clio 1.0 TCe 12V S&S 100 cv,46500 DT,Renault,Clio,140 000,2.2021,Essence,Manuelle,4.0,100.0,Traction,Compacte,Très bon,1ère main,Nabeul,Gris,Noir,Tissu,5,5,999.0,"Android Auto, Apple Carplay, Bluetooth, Caméra de recul, Climatisation, GPS, Navigation, Radar de recul, Sièges électriques, Vitres électriques",08.02.2026,https://www.automobile.tn/fr/occasion/renault/clio/121281
Peugeot 308 Allure 1.5 BlueHDi 16V S&S 130 cv,51500 DT,Peugeot,308,168 000,2.2021,Diesel,Manuelle,5.0,130.0,Traction,Berline,Très bon,1ère main,Nabeul,Blanc,Noir,Tissu,5,5,1499.0,"Android Auto, Apple Carplay, Bluetooth, Climatisation, Climatisation automatique, GPS",08.02.2026,https://www.automobile.tn/fr/occasion/peugeot/308/120175
Volkswagen Passat GTE GTE 1.4 TSI 16V 218 Hybrid 156 cv Boite Auto,98000 DT,Volkswagen,Passat,112 000,2.2021,Hybride,Automatique,8.0,156.0,Traction,Berline,Très bon,1ère main,Nabeul,Gris,Noir,Alcantara,5,5,1395.0,"Apple Carplay, Bluetooth, Jantes en alliage, Régulateur de vitesse, Sièges chauffants, Sièges électriques, Toit ouvrant, Vitres électriques",08.02.2026,https://www.automobile.tn/fr/occasion/volkswagen/passat/120049
Mini Cooper 5 portes Cooper 1.5 i 12V 136 cv,65000 DT,Mini,Cooper 5 portes,113 000,3.2021,Essence,Manuelle,5.0,136.0,Traction,Compacte,Très bon,1ère main,Nabeul,Beige,Noir,Tissu,5,5,1499.0,,08.02.2026,https://www.automobile.tn/fr/occasion/mini/5-portes/119698
KIA Sportage GT-Line 1.6 T-GDi 16V 4x4 DCT7 177 cv Boîte auto,89000 DT,KIA,Sportage,118 000,2.2021,Essence,Automatique,11.0,177.0,Intégrale,SUV,Très bon,1ère main,Nabeul,Noir,Noir,Cuir,5,5,1591.0,"ABS, Airbags frontaux, Airbags latéraux, Android Auto, Apple Carplay, Bluetooth, Caméra de recul, Climatisation, Climatisation automatique, Direction assistée, Fermeture centralisée, Feux à LED, Jantes en alliage, Navigation, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges chauffants, Sièges électriques, Toit ouvrant, Toit panoramique, Vitres électriques",08.02.2026,https://www.automobile.tn/fr/occasion/kia/sportage/119376
Audi Q3 Sportback S-Line Plus 45e 1.4 TFSI 16V GPF 245 PHEV DSG6 150 cv Boîte auto,149000 DT,Audi,Q3 Sportback,70 000,11.2021,Hybride,Automatique,8.0,150.0,Traction,SUV,Très bon,1ère main,Nabeul,Blanc,Noir,Cuir,5,5,1395.0,"ABS, Airbags frontaux, Airbags latéraux, Android Auto, Apple Carplay, Bluetooth, Caméra de recul, Climatisation, Climatisation automatique, Direction assistée, Fermeture centralisée, Feux à LED, Jantes en alliage, Navigation, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges chauffants, Sièges électriques, Toit ouvrant, Toit panoramique, Vitres électriques",08.02.2026,https://www.automobile.tn/fr/occasion/audi/q3-sportback/118627
Volkswagen Tiguan Highline 2.0 TFSI 16V 4Motion DSG7 180 cv Boîte auto,79000 DT,Volkswagen,Tiguan,108 000,3.2019,Essence,Automatique,12.0,180.0,Intégrale,SUV,Très bon,1ère main,Nabeul,Blanc,Noir,Alcantara,5,5,1984.0,"Android Auto, Apple Carplay, Bluetooth, Caméra de recul, Radar de recul, Régulateur de vitesse, Sièges chauffants, Sièges électriques, Toit ouvrant, Toit panoramique",08.02.2026,https://www.automobile.tn/fr/occasion/volkswagen/tiguan/117689
Mercedes-Benz Classe A AMG Premium 180 d 1.5 d 8V 7G-DCT 116 cv Boîte auto,96000 DT,Mercedes-Benz,Classe A,123 000,6.2021,Diesel,Automatique,6.0,116.0,Traction,Berline,Très bon,1ère main,Nabeul,Blanc,Noir,Alcantara,5,5,1461.0,"Android Auto, Apple Carplay, Bluetooth, GPS, Navigation, Toit ouvrant, Toit panoramique",08.02.2026,https://www.automobile.tn/fr/occasion/mercedes-benz/classe-a/116688
Renault Clio Dynamique 1.0 TCe 12V S&S 100 cv,44500 DT,Renault,Clio,158 000,2.2022,Essence,Manuelle,5.0,100.0,Traction,Compacte,Très bon,1ère main,Nabeul,Blanc,Noir,Tissu,5,5,999.0,"Android Auto, Apple Carplay, Bluetooth, Caméra de recul, GPS, Radar de recul, Sièges électriques, Vitres électriques",08.02.2026,https://www.automobile.tn/fr/occasion/renault/clio/114368
Suzuki Celerio GL 1.0 L GL 68 cv Boîte auto,45000 DT,Suzuki,Celerio,18 000,3.2024,Essence,Automatique,5.0,68.0,Traction,Citadine,,1ère main,Ariana,Gris,Noir,Tissu,5,5,998.0,"ABS, Airbags frontaux, Android Auto, Apple Carplay, Bluetooth, Climatisation, Direction assistée, Fermeture centralisée, Jantes en alliage, Radar de recul, Vitres électriques",08.02.2026,https://www.automobile.tn/fr/occasion/suzuki/celerio/123228
Chery Arrizo 5 1.5 L 115 cv,35000 DT,Chery,Arrizo 5,113 000,9.202,Essence,Manuelle,7.0,115.0,Traction,Berline,Très bon,1ère main,Ariana,Bleu,Noir,Similicuir,5,4,1499.0,"ABS, Airbags frontaux, Airbags latéraux, Bluetooth, Caméra de recul, Climatisation, Direction assistée, Fermeture centralisée, Jantes en alliage, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Toit ouvrant, Vitres électriques",08.02.2026,https://www.automobile.tn/fr/occasion/chery/arrizo-5/123226
Land Rover Range Rover Sport Autobiography Dynamic 5.0 i V8 32V 375 cv Boîte auto,99000 DT,Land Rover,Range Rover Sport,160 000,3.2011,Essence,Automatique,43.0,375.0,Propulsion,SUV,Très bon,1ère main,Tunis,Noir,Rouge,Similicuir,5,4,4998.0,"Android Auto, Bluetooth, Navigation, Sièges chauffants, Sièges électriques, Toit panoramique",08.02.2026,https://www.automobile.tn/fr/occasion/land-rover/range-rover-sport/123224
Volvo EX30 Core Single Motor 272 cv Boîte auto,102000 DT,Volvo,EX30,0,12.2025,Electrique,Automatique,5.0,272.0,Propulsion,SUV,Très bon,1ère main,Tunis,Blanc,Autre,Tissu,5,4,,"ABS, Airbags frontaux, Airbags latéraux, Android Auto, Apple Carplay, Bluetooth, Caméra de recul, Climatisation, Climatisation automatique, Direction assistée, Fermeture centralisée, Feux à LED, Jantes en alliage, Ordinateur de bord, Radar de recul, Vitres électriques",08.02.2026,https://www.automobile.tn/fr/occasion/volvo/ex30/122679
Land Rover Range Rover Sport Dynamic HSE 3.0 SDV6 24V 306 cv Boîte auto,147000 DT,Land Rover,Range Rover Sport,119 000,10.2016,Diesel,Automatique,16.0,306.0,Propulsion,SUV,Très bon,1ère main,Tunis,Noir,Noir,Cuir,5,4,2998.0,"ABS, Airbags frontaux, Airbags latéraux, Android Auto, Apple Carplay, Bluetooth, Caméra de recul, Climatisation, Climatisation automatique, Direction assistée, Fermeture centralisée, Feux à LED, Jantes en alliage, Navigation, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges chauffants, Sièges électriques, Toit panoramique, Vitres électriques",08.02.2026,https://www.automobile.tn/fr/occasion/land-rover/range-rover-sport/122678
BMW Série 4 Gran Coupé Luxury Line 418i 1.5 i 12V Steptronic8 136 cv Boîte auto,105000 DT,BMW,,79 000,11.2019,Essence,Automatique,7.0,136.0,Propulsion,Berline,Très bon,1ère main,Tunis,Marron,Noir,Cuir,5,5,1499.0,"ABS, Airbags frontaux, Airbags latéraux, Bluetooth, Caméra de recul, Climatisation, Climatisation automatique, Direction assistée, Fermeture centralisée, Feux à LED, Ordinateur de bord, Régulateur de vitesse, Toit ouvrant, Vitres électriques",08.02.2026,https://www.automobile.tn/fr/occasion/bmw/serie-4-gran-coupe/118015
BMW Série 4 Gran Coupé Pack M Sport,117000 DT,BMW,,90 000,6.2019,Essence,Automatique,7.0,184.0,Traction,Berline,Très bon,1ère main,Tunis,Bleu,Noir,Cuir,5,4,1498.0,"ABS, Airbags frontaux, Airbags latéraux, Bluetooth, Caméra de recul, Climatisation, Climatisation automatique, Direction assistée, Fermeture centralisée, Feux à LED, Jantes en alliage, Navigation, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges chauffants, Sièges électriques, Toit ouvrant, Toit panoramique, Vitres électriques",08.02.2026,https://www.automobile.tn/fr/occasion/bmw/serie-4-gran-coupe/79830
Cupra Formentor Sport 2.0 TSI 16V DSG 7 190 cv Boîte auto,104000 DT,Cupra,Formentor,78 000,6.2022,Essence,Automatique,11.0,190.0,Traction,SUV,Très bon,1ère main,Tunis,Gris,Noir,Cuir,5,5,1998.0,"Android Auto, Apple Carplay, Bluetooth, Climatisation, Climatisation automatique, Sièges électriques",08.02.2026,https://www.automobile.tn/fr/occasion/cupra/formentor/122964
Volkswagen Golf 8 GTE GTE 1.4 TSi 16V 245 Plug in Hybrid DSG6 150 cv Boîte auto,95000 DT,Volkswagen,Golf 8,120 000,4.2022,Hybride,Automatique,8.0,245.0,Intégrale,Berline,Très bon,1ère main,Nabeul,Blanc,Noir,Alcantara,5,5,1400.0,"Android Auto, Apple Carplay, Bluetooth, GPS, Navigation, Sièges chauffants, Sièges électriques, Vitres électriques",08.02.2026,https://www.automobile.tn/fr/occasion/volkswagen/golf-8/122962
BMW X2,114000 DT,BMW,X2,61 000,2.202,Essence,Automatique,8.0,190.0,Traction,SUV,Très bon,1ère main,Tunis,Bleu,Noir,Alcantara,5,5,1998.0,"Apple Carplay, Bluetooth, Toit panoramique",08.02.2026,https://www.automobile.tn/fr/occasion/bmw/x2/123013
Mercedes-Benz Classe C Avantgarde 180 Kompressor 1.8 i 16V 143 cv,30000 DT,Mercedes-Benz,Classe C,189 000,10.2004,Essence,Manuelle,9.0,143.0,Traction,Berline,Très bon,1ère main,Tunis,Noir,Gris,cuir,5,4,2000.0,"ABS, Airbags frontaux, Airbags latéraux, Apple Carplay, Bluetooth, Climatisation, Climatisation automatique, Direction assistée, Fermeture centralisée, Jantes en alliage, Navigation, Ordinateur de bord, Régulateur de vitesse, Sièges chauffants, Sièges électriques, Toit ouvrant, Vitres électriques",08.02.2026,https://www.automobile.tn/fr/occasion/mercedes-benz/classe-c/123225
Volkswagen Golf 8 Drive 1.0 eTSi 12V BMT DSG7 110 cv Boîte auto,82000 DT,Volkswagen,Golf 8,82 000,10.2021,Hybride,Automatique,6.0,110.0,Traction,Compacte,Très bon,1ère main,Tunis,Bleu,Gris,Tissu,5,5,999.0,"Android Auto, Apple Carplay, Bluetooth, Caméra de recul, Climatisation, Climatisation automatique, Direction assistée, Fermeture centralisée, Feux à LED, GPS, Navigation, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges chauffants, Sièges électriques, Vitres électriques",08.02.2026,https://www.automobile.tn/fr/occasion/volkswagen/golf-8/121416
